
month    all_revs  main_revs  new_main_pages
2004-07        10         10              10
2004-08         1          1               1
2004-10       399        395             301
2004-11         5          3               0
2005-01        27         27               6
2005-03       106        102              41
2005-04       100        100              44
2005-05        30         21               4
2005-06        30         29               0
2005-07       849        846             506
2005-08       310        303             212
2005-09       275        265              64
2005-10       489        486             314
2005-11         4          4               0
2005-12       211        210              70
2006-01      4323       4322               1
2006-02         1          1               0
2006-03        12         12               0
2006-04         6          6               2
2006-05         3          3               0
2006-06        19         19               1
2006-07         6          5               0
2006-08        15         15               0
2006-09        16         16               3
2006-10        19         18               9
2006-11        11         10               0
2006-12         9          9               0
2007-01        10          8               0
2007-02         4          4               0
2007-03       120        118               0
2007-04        11          2               0
2007-05        24         22               0
2007-06        11         11               2
2007-07        16         15               3
2007-08         7          5               0
2007-09         9          8               0
2007-10        66         19               2
2007-11        58         12               0
2007-12        64         60              28
2008-01         8          5               0
2008-02         5          2               0
2008-03         5          1               1
2008-04        14          4               0
2008-05        11          1               0
2008-06         9          3               1
2008-07         9          1               0
2008-08        10          5               0
2008-09         5          1               0
2008-10        10          1               0
2008-11         2          1               0
2008-12      1079       1077             182
2009-01       365        362               0
2009-02       681        680               0
2009-03        17         12               0
2009-04        30         27               0
2009-05         7          5               1
2009-06         9          3               0
2009-07         3          1               0
2009-08        19          5               0
2009-10         2          0               0
2009-11         8          3               0
2009-12         9          4               0
2010-01         6          0               0
2010-02         7          1               0
2010-03        12          7               0
2010-04         9          7               0
2010-06        10          7               1
2010-07       106          5               1
2010-08        13         12               0
2010-09         1          0               0
2010-10         8          3               0
2010-11         7          4               0
2010-12         6          6               0
2011-01         4          0               0
2011-02         6          2               0
2011-03      1924       1876               1
2011-04        10          5               1
2011-05        34         24               7
2011-06       168        155             129
2011-07       206        186              69
2011-08      1274       1205            1026
2011-09      3474       3372            1352
2011-10       721        618             317
2011-11      4098       3825             631
2011-12      1921       1765             826
2012-01      1384       1161             516
2012-02      2306       1913            1038
2012-03       639        461             343
2012-04        85         48              11
2012-05         6          2               0
2012-06      1186        978             419
2012-07       629        562             148
